# packages in environment at /home/niek/mambaforge/envs/tracks:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
argcomplete               3.1.6              pyhd8ed1ab_0    conda-forge
argh                      0.30.4             pyhd8ed1ab_0    conda-forge
asciitree                 0.3.3                      py_2    conda-forge
asttokens                 2.4.1              pyhd8ed1ab_0    conda-forge
aws-c-auth                0.7.7                h37ad1db_0    conda-forge
aws-c-cal                 0.6.9                h3b91eb8_1    conda-forge
aws-c-common              0.9.8                hd590300_0    conda-forge
aws-c-compression         0.2.17               hfd9eb17_6    conda-forge
aws-c-event-stream        0.3.2                hae413d4_6    conda-forge
aws-c-http                0.7.14               h162056d_1    conda-forge
aws-c-io                  0.13.35              hc23c90e_8    conda-forge
aws-c-mqtt                0.9.9                h1387108_0    conda-forge
aws-c-s3                  0.3.24               hdb3bed3_1    conda-forge
aws-c-sdkutils            0.1.12               hfd9eb17_5    conda-forge
aws-checksums             0.1.17               hfd9eb17_5    conda-forge
aws-crt-cpp               0.24.7               hd0f6be0_2    conda-forge
aws-sdk-cpp               1.11.182             h8beafcf_7    conda-forge
bedtools                  2.31.1               hf5e1c6e_0    bioconda
biopython                 1.81            py310h2372a71_1    conda-forge
blosc                     1.21.5               h0f2a231_0    conda-forge
bokeh                     3.3.1              pyhd8ed1ab_0    conda-forge
brotli                    1.1.0                hd590300_1    conda-forge
brotli-bin                1.1.0                hd590300_1    conda-forge
brotli-python             1.1.0           py310hc6cd4ac_1    conda-forge
bx-python                 0.10.0          py310h551a815_0    bioconda
bzip2                     1.0.8                hd590300_5    conda-forge
c-ares                    1.22.1               hd590300_0    conda-forge
c-blosc2                  2.11.2               hb4ffafa_0    conda-forge
ca-certificates           2024.7.4             hbcca054_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
certifi                   2024.7.4           pyhd8ed1ab_0    conda-forge
click                     8.1.7           unix_pyh707e725_0    conda-forge
cloudpickle               3.0.0              pyhd8ed1ab_0    conda-forge
colorama                  0.4.6              pyhd8ed1ab_0    conda-forge
comm                      0.2.2              pyhd8ed1ab_0    conda-forge
contourpy                 1.2.0           py310hd41b1e2_0    conda-forge
cooler                    0.9.3              pyhdfd78af_0    bioconda
cycler                    0.12.1             pyhd8ed1ab_0    conda-forge
cytoolz                   0.12.2          py310h2372a71_1    conda-forge
dask                      2023.11.0          pyhd8ed1ab_0    conda-forge
dask-core                 2023.11.0          pyhd8ed1ab_0    conda-forge
debugpy                   1.8.2           py310h76e45a6_0    conda-forge
decorator                 5.1.1              pyhd8ed1ab_0    conda-forge
dill                      0.3.7              pyhd8ed1ab_0    conda-forge
distributed               2023.11.0          pyhd8ed1ab_0    conda-forge
exceptiongroup            1.2.0              pyhd8ed1ab_2    conda-forge
executing                 2.0.1              pyhd8ed1ab_0    conda-forge
fonttools                 4.44.3          py310h2372a71_0    conda-forge
freetype                  2.12.1               h267a509_2    conda-forge
fsspec                    2023.10.0          pyhca7485f_0    conda-forge
future                    0.18.3             pyhd8ed1ab_0    conda-forge
gffutils                  0.13               pyh7cba7a3_0    bioconda
gflags                    2.2.2             he1b5a44_1004    conda-forge
glog                      0.6.0                h6f12383_0    conda-forge
h5py                      3.10.0          nompi_py310ha2ad45a_100    conda-forge
